id,retweet_count,favorite_count
892420643555336193,7340,34964
892177421306343426,5473,30270
891815181378084864,3621,22778
891689557279858688,7526,38233
891327558926688256,8102,36511
891087950875897856,2715,18415
890971913173991426,1755,10710
890729181411237888,16455,58891
890609185150312448,3765,25340
890240255349198849,6369,28914
890006608113172480,6400,27888
889880896479866881,4340,25359
889665388333682689,8718,43528
889638837579907072,3895,24475
889531135344209921,1965,13785
889278841981685760,4634,22844
888917238123831296,3904,26454
888804989199671297,3695,23221
888554962724278272,3004,17904
888078434458587136,3032,19787
887705289381826560,4710,27524
887517139158093824,10255,42110
887473957103951883,15666,62280
887343217045368832,9191,30545
887101392804085760,5203,27848
886983233522544640,6655,31532
886736880519319552,2763,10841
886680336477933568,3904,20426
886366144734445568,2760,19178
886267009285017600,3,107
886258384151887873,5509,25408
886054160059072513,96,0
885984800019947520,5852,29578
885528943205470208,5572,32648
885518971528720385,3259,18600
885311592912609280,16113,0
885167619883638784,3815,19864
884925521741709313,15740,69788
884876753390489601,4876,25248
884562892145688576,4095,22066
884441805382717440,4969,24636
884247878851493888,17710,65745
884162670584377345,2612,18528
883838122936631299,2983,19836
883482846933004288,8618,41601
883360690899218434,3211,20588
883117836046086144,5782,33668
882992080364220416,3380,21694
882762694511734784,4263,25647
882627270321602560,5287,25470
882268110199369728,10093,40609
882045870035918850,4242,26610
881906580714921986,2967,22135
881666595344535552,9318,46045
881633300179243008,8,113
881536004380872706,13973,44932
881268444196462592,4641,21169
880935762899988482,2440,15545
880872448815771648,3334,19358
880465832366813184,5425,25821
880221127280381952,3625,24483
880095782870896641,3793,25116
879862464715927552,3041,20354
879674319642796034,10,288
879492040517615616,2765,21375
879415818425184262,39000,96046
879376492567855104,2740,15336
879130579576475649,5966,0
879050749262655488,4125,20504
879008229531029506,2342,17306
878776093423087618,3596,17651
878604707211726852,6180,27342
878404777348136964,1116,0
878316110768087041,5782,0
878281511006478336,1116,7018
878057613040115712,5966,38305
877736472329191424,16552,71885
877611172832227328,71,0
877556246731214848,3316,20644
877316821321428993,4559,24979
877201837425926144,4860,24656
876838120628539392,2921,18849
876537666061221889,4125,21680
876484053909872640,2076,17112
876120275196170240,4078,25525
